#E/N (Td)       C43    
19.97          0.000    
21.83         0.3474E-26
23.86         0.3212E-25
26.08         0.2469E-24
28.51         0.1665E-23
31.17         0.9354E-23
34.07         0.4581E-22
37.25         0.1985E-21
40.72         0.7644E-21
44.51         0.2653E-20
48.66         0.8387E-20
53.19         0.2420E-19
58.15         0.6435E-19
63.57         0.1585E-18
69.49         0.3638E-18
75.97         0.7816E-18
83.04         0.1580E-17
90.78         0.3016E-17
99.24         0.5472E-17
108.5         0.9473E-17
118.6         0.1574E-16
129.6         0.2519E-16
141.7         0.3909E-16
154.9         0.5900E-16
169.4         0.8690E-16
185.1         0.1253E-15
202.4         0.1773E-15
221.2         0.2469E-15
241.9         0.3388E-15
264.4         0.4585E-15
289.0         0.6127E-15
316.0         0.8097E-15
345.4         0.1058E-14
377.6         0.1370E-14
412.8         0.1755E-14
451.2         0.2228E-14
493.3         0.2802E-14
539.2         0.3493E-14
589.5         0.4318E-14
644.4         0.5294E-14
704.4         0.6440E-14
770.0         0.7776E-14
841.8         0.9320E-14
920.2         0.1109E-13
1006.         0.1311E-13
1100.         0.1541E-13
1202.         0.1799E-13
1314.         0.2088E-13
1437.         0.2411E-13
1570.         0.2769E-13
1717.         0.3163E-13
1877.         0.3596E-13
2052.         0.4069E-13
2243.         0.4583E-13
2452.         0.5139E-13
2680.         0.5738E-13
2930.         0.6382E-13
3203.         0.7071E-13
3501.         0.7805E-13
3827.         0.8587E-13
4184.         0.9417E-13
4574.         0.1030E-12
5000.         0.1123E-12
