#E/N (Td)       C43    
0.1000E-03      0.000    
0.1093E-03      0.000    
0.1195E-03      0.000    
0.1306E-03      0.000    
0.1428E-03      0.000    
0.1561E-03      0.000    
0.1707E-03      0.000    
0.1866E-03      0.000    
0.2039E-03      0.000    
0.2229E-03      0.000    
0.2437E-03      0.000    
0.2664E-03      0.000    
0.2912E-03      0.000    
0.3184E-03      0.000    
0.3480E-03      0.000    
0.3805E-03      0.000    
0.4159E-03      0.000    
0.4547E-03      0.000    
0.4970E-03      0.000    
0.5433E-03      0.000    
0.5940E-03      0.000    
0.6493E-03      0.000    
0.7098E-03      0.000    
0.7759E-03      0.000    
0.8482E-03      0.000    
0.9273E-03      0.000    
0.1014E-02      0.000    
0.1108E-02      0.000    
0.1211E-02      0.000    
0.1324E-02      0.000    
0.1448E-02      0.000    
0.1582E-02      0.000    
0.1730E-02      0.000    
0.1891E-02      0.000    
0.2067E-02      0.000    
0.2260E-02      0.000    
0.2470E-02      0.000    
0.2701E-02      0.000    
0.2952E-02      0.000    
0.3227E-02      0.000    
0.3528E-02      0.000    
0.3857E-02      0.000    
0.4216E-02      0.000    
0.4609E-02      0.000    
0.5038E-02      0.000    
0.5508E-02      0.000    
0.6021E-02      0.000    
0.6582E-02      0.000    
0.7195E-02      0.000    
0.7865E-02      0.000    
0.8598E-02      0.000    
0.9399E-02      0.000    
0.1028E-01      0.000    
0.1123E-01      0.000    
0.1228E-01      0.000    
0.1342E-01      0.000    
0.1467E-01      0.000    
0.1604E-01      0.000    
0.1754E-01      0.000    
0.1917E-01      0.000    
0.2096E-01      0.000    
0.2291E-01      0.000    
0.2504E-01      0.000    
0.2738E-01      0.000    
0.2993E-01      0.000    
0.3271E-01      0.000    
0.3576E-01      0.000    
0.3909E-01      0.000    
0.4274E-01      0.000    
0.4672E-01      0.000    
0.5107E-01      0.000    
0.5583E-01      0.000    
0.6103E-01      0.000    
0.6672E-01      0.000    
0.7293E-01      0.000    
0.7973E-01      0.000    
0.8716E-01      0.000    
0.9528E-01      0.000    
0.1042          0.000    
0.1139          0.000    
0.1245          0.000    
0.1361          0.000    
0.1487          0.000    
0.1626          0.000    
0.1778          0.000    
0.1943          0.000    
0.2124          0.000    
0.2322          0.000    
0.2538          0.000    
0.2775          0.000    
0.3034          0.000    
0.3316          0.000    
0.3625          0.000    
0.3963          0.000    
0.4332          0.000    
0.4736          0.000    
0.5177          0.000    
0.5659          0.000    
0.6187          0.000    
0.6763          0.000    
0.7393          0.000    
0.8082          0.000    
0.8835          0.000    
0.9658          0.000    
1.056          0.000    
1.154          0.000    
1.262          0.000    
1.379          0.000    
1.508          0.000    
1.648          0.000    
1.802          0.000    
1.970          0.000    
2.153          0.000    
2.354          0.000    
2.573          0.000    
2.813          0.000    
3.075          0.000    
3.361          0.000    
3.675          0.000    
4.017          0.000    
4.391          0.000    
4.800          0.000    
5.248          0.000    
5.737          0.000    
6.271          0.000    
6.855          0.000    
7.494          0.000    
8.192          0.000    
8.956          0.000    
9.790          0.000    
10.70          0.000    
11.70          0.000    
12.79          0.000    
13.98          0.000    
15.28          0.000    
16.71          0.000    
18.26          0.000    
19.97          0.000    
21.83         0.3474E-26
23.86         0.3212E-25
26.08         0.2469E-24
28.51         0.1665E-23
31.17         0.9354E-23
34.07         0.4581E-22
37.25         0.1985E-21
40.72         0.7644E-21
44.51         0.2653E-20
48.66         0.8387E-20
53.19         0.2420E-19
58.15         0.6435E-19
63.57         0.1585E-18
69.49         0.3638E-18
75.97         0.7816E-18
83.04         0.1580E-17
90.78         0.3016E-17
99.24         0.5472E-17
108.5         0.9473E-17
118.6         0.1574E-16
129.6         0.2519E-16
141.7         0.3909E-16
154.9         0.5900E-16
169.4         0.8690E-16
185.1         0.1253E-15
202.4         0.1773E-15
221.2         0.2469E-15
241.9         0.3388E-15
264.4         0.4585E-15
289.0         0.6127E-15
316.0         0.8097E-15
345.4         0.1058E-14
377.6         0.1370E-14
412.8         0.1755E-14
451.2         0.2228E-14
493.3         0.2802E-14
539.2         0.3493E-14
589.5         0.4318E-14
644.4         0.5294E-14
704.4         0.6440E-14
770.0         0.7776E-14
841.8         0.9320E-14
920.2         0.1109E-13
1006.         0.1311E-13
1100.         0.1541E-13
1202.         0.1799E-13
1314.         0.2088E-13
1437.         0.2411E-13
1570.         0.2769E-13
1717.         0.3163E-13
1877.         0.3596E-13
2052.         0.4069E-13
2243.         0.4583E-13
2452.         0.5139E-13
2680.         0.5738E-13
2930.         0.6382E-13
3203.         0.7071E-13
3501.         0.7805E-13
3827.         0.8587E-13
4184.         0.9417E-13
4574.         0.1030E-12
5000.         0.1123E-12
