#E/N (Td)     k_ion,N2(1/m3-s)     
26.08        0.000     
28.51       0.2705E-27 
31.17       0.3081E-26 
34.07       0.2850E-25 
37.25       0.3228E-24 
40.72       0.2218E-23 
44.51       0.1307E-22 
48.66       0.6738E-22 
53.19       0.3028E-21 
58.15       0.1208E-20 
63.57       0.4313E-20 
69.49       0.1388E-19 
75.97       0.4060E-19 
83.04       0.1088E-18 
90.78       0.2685E-18 
99.24       0.6158E-18 
108.5       0.1319E-17 
118.6       0.2657E-17 
129.6       0.5068E-17 
141.7       0.9214E-17 
154.9       0.1605E-16 
169.4       0.2691E-16 
185.1       0.4360E-16 
202.4       0.6853E-16 
221.2       0.1048E-15 
241.9       0.1565E-15 
264.4       0.2283E-15 
289.0       0.3263E-15 
316.0       0.4578E-15 
345.4       0.6311E-15 
377.6       0.8558E-15 
412.8       0.1143E-14 
451.2       0.1505E-14 
493.3       0.1954E-14 
539.2       0.2506E-14 
589.5       0.3176E-14 
644.4       0.3979E-14 
704.4       0.4934E-14 
770.0       0.6058E-14 
841.8       0.7368E-14 
920.2       0.8884E-14 
1006.       0.1062E-13 
1100.       0.1261E-13 
1202.       0.1485E-13 
1314.       0.1737E-13 
1437.       0.2019E-13 
1570.       0.2332E-13 
1717.       0.2678E-13 
1877.       0.3057E-13 
2052.       0.3470E-13 
2243.       0.3918E-13 
2452.       0.4402E-13 
2680.       0.4919E-13 
2930.       0.5470E-13 
3203.       0.6054E-13 
3501.       0.6665E-13 
3827.       0.7305E-13 
4184.       0.7967E-13 
4574.       0.8648E-13 
5000.       0.9343E-13 
